Format,Unit, ,Item ID,MDPI barcode,Title Control Number,Catalog Key,OCLC,Call Sequence,Pub Year,MARC key,Ephemera Removed,Bin Barcodes,Bin Name,Ephemera Returned,Title,Author,Library,Shelving Key,Item Type,Home Location,Current Location,Item Category 2,Cataloging date code,Pagination (300a),Illustrations (300b),Size (300c),Column1,Column2,Column3,notes,pre-prioritization group,Year,Tape base,Preservation problems,Pack deformation,Reel size,Track configuration,Sound field,Item Category 1,speed,Tape thickness,Tape stock brand,number of programs,directions recorded,Variations Record Exists,Group key,Group position,Group total,position_by_shelving_key,,NOTES,
Open Reel Audio Tape,B-AAAMC,TP-S .A273 90-6-10 v. 1,30000000171110,40000001200551,AAN6269BM,45082,22716831,2,1990,48828,x,40000000012437,ML-OR-132,,GUEST RECITAL,AGNEW EMILY,B-MUSIC,TP-S .A273 90-6-10 V. 1,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,2 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1990,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,AAN6269BM,1,2,1,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A273 90-6-10 v. 2,30000000171102,40000001200569,AAN6269BM,45082,22716831,3,1990,48828,x,40000000012437,ML-OR-132,,GUEST RECITAL,AGNEW EMILY,B-MUSIC,TP-S .A273 90-6-10 V. 2,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,2 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1990,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,AAN6269BM,2,2,2,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A273 91-4-22 v. 1,30000000174361,40000001200544,ABP6106BM,151264,24177902,2,1991,160935,x,40000000012437,ML-OR-132,,GUEST RECITAL,AGNEW EMILY,B-MUSIC,TP-S .A273 91-4-22 V. 1,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,2 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1991,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,ABP6106BM,1,2,1,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A273 91-4-22 v. 2,30000000174353,40000001200536,ABP6106BM,151264,24177902,3,1991,160935,x,40000000012437,ML-OR-132,,GUEST RECITAL,AGNEW EMILY,B-MUSIC,TP-S .A273 91-4-22 V. 2,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,2 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1991,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,ABP6106BM,2,2,2,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A281 90-10-26 v. 1,30000002965097,40000001200528,AAY9652BM,82464,24047085,2,1990,88344,x,40000000012437,ML-OR-132,,SENIOR RECITAL,AGRESTA KIRSTEN,B-MUSIC,TP-S .A281 90-10-26 V. 1,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,2 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1990,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,AAY9652BM,1,2,1,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A281 90-10-26 v. 2,30000002965105,40000001200510,AAY9652BM,82464,24047085,3,1990,88344,x,40000000012437,ML-OR-132,,SENIOR RECITAL,AGRESTA KIRSTEN,B-MUSIC,TP-S .A281 90-10-26 V. 2,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,2 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1990,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,AAY9652BM,2,2,2,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A292 89-2-3 v. 1,30000036007999,40000001200502,BFK0623BM,2074133,19504518,2,1989,2184497,x,40000000012437,ML-OR-132,,GRADUATE LECTURE RECITAL,AIKMAN DEANNA,B-MUSIC,TP-S .A292 89-2-3 V. 1,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,3 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1989,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,"1.5 mil, 1.0 mil",Scotch 226/227,1,1,,BFK0623BM,1,3,1,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A292 89-2-3 v. 2,30000036007841,40000001200486,BFK0623BM,2074133,19504518,3,1989,2184497,x,40000000012437,ML-OR-132,,GRADUATE LECTURE RECITAL,AIKMAN DEANNA,B-MUSIC,TP-S .A292 89-2-3 V. 2,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,3 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1989,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,"1.5 mil, 1.0 mil",Scotch 226/227,1,1,,BFK0623BM,2,3,2,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A292 89-2-3 v. 3,30000036007858,40000001200478,BFK0623BM,2074133,19504518,4,1989,2184497,x,40000000012437,ML-OR-132,,GRADUATE LECTURE RECITAL,AIKMAN DEANNA,B-MUSIC,TP-S .A292 89-2-3 V. 3,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,3 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1989,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,"1.5 mil, 1.0 mil",Scotch 226/227,1,1,,BFK0623BM,3,3,3,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A292 91-10-25 v. 1,39000018108352,40000001200460,ACA5594BM,203027,25144348,2,1991,220611,x,40000000012437,ML-OR-132,,GRADUATE RECITAL,AIKMAN DEANNA,B-MUSIC,TP-S .A292 91-10-25 V. 1,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,2 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1991,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,ACA5594BM,1,2,1,,,
